sub_grade,good_pct,default_pct,loan_amount,fico_low,annual_income,interest_rate,DTI,description,credit_history,return_low_range,return_high_range,default_ret_low,good_ret_low,default_ret_high,good_ret_high
C3,0.7378634679394587,0.2621365320605413,14905.03673930792,687.223356151479,74775.96330308358,0.13709162689197854,0.13709162689197854,0.014271808076367519,19.309450323431637,0.02326149777204933,0.05510743352297383,-0.07129966558796029,0.05685570118209944,-0.06966204768013415,0.09943357315543276
C4,0.7142068922029196,0.28579310779708045,15302.372544692122,686.1853264810669,73449.17781520958,0.1436032269761044,0.1436032269761044,0.012438124665006147,19.584601160261023,0.02193601262496562,0.055507766936175026,-0.07068142217950522,0.05899729671215863,-0.06904691283903427,0.10534888358212453
C5,0.7097175539915693,0.2902824460084307,15179.844385433882,685.7211565244842,73070.70147295325,0.15154332510071378,0.15154332510071378,0.014595829232511931,20.050355796549553,0.02210942785924791,0.05829953876821159,-0.0744457461264715,0.061601577830329456,-0.07259490664079075,0.11183683620230367
D1,0.703945832360495,0.296054167639505,15101.721340182115,683.6190754144292,69728.20921083352,0.1602753163670802,0.1602753163670802,0.013915479803875789,20.48201377539118,0.02307095686091764,0.05992807388456934,-0.07963477440395765,0.06626527435473618,-0.07769067632375157,0.1178055449506226
D2,0.6719747841578732,0.32802521584212685,15847.234479923256,683.8075921611621,70152.4021129231,0.16977890091824246,0.16977890091824246,0.014553926271070303,20.794939016034114,0.020933202511288072,0.06067387884708061,-0.07678453452355838,0.068634221266969,-0.07445862789231453,0.1266389577987101
D3,0.6670022734654109,0.33299772653458914,15954.147450470931,683.2593374472232,68909.40407437478,0.17618943488148192,0.17618943488148192,0.015102305943488145,21.027890224098716,0.0224361992261384,0.06358514151657922,-0.07528509766658667,0.07122309395473023,-0.07266640185253712,0.1316080793440874
D4,0.6430986677486982,0.35690133225130183,16742.646412389262,682.9806586866843,71592.21797524852,0.18281811388372188,0.18281811388372188,0.012882937715560965,20.993987286129745,0.021205693107582146,0.06511420295500144,-0.070673569672786,0.07219605109942089,-0.06789394468838464,0.1389299134747947
D5,0.6288168331073029,0.37118316689269715,17032.896683516214,682.8675050343155,70685.45323141411,0.18961555500761276,0.18961555500761276,0.012287839559446019,21.518265729667405,0.020337924191646303,0.06696211848599773,-0.06997588446624108,0.073649101225699,-0.06702935545450375,0.14605570665870532
E1,0.6054706863142716,0.3945293136857284,17402.26781127484,682.4165202108964,70368.79965030865,0.19500373124234716,0.19500373124234716,0.011581271686719841,21.48298904961479,0.01927270861968527,0.06685475080996958,-0.06584284262573219,0.07473465050370041,-0.0625407710911952,0.15116985904491215
E2,0.6011176893708847,0.3988823106291153,17891.87876943507,681.4756819565097,71145.46980468101,0.1985960936203291,0.1985960936203291,0.009738283627510651,21.40506778066722,0.018996718664268455,0.06681371148745066,-0.0689002449528607,0.07732230875225446,-0.06544052672996697,0.15457335833109567
E3,0.5725662077906044,0.4274337922093956,18015.399098709797,681.8130748811654,70441.45712389651,0.20709761096368923,0.20709761096368923,0.011482190258657942,21.736515216988774,0.01763054788242611,0.06885473777042206,-0.062113404348204705,0.07716123524036532,-0.05830148667758333,0.16377977260362928
E4,0.5572192513368984,0.4427807486631016,18582.448433919024,681.2452253628725,71844.37286249045,0.21521375095492007,0.21521375095492007,0.009320091673032849,21.83223834988541,0.015882611061530393,0.06978220674161334,-0.06294825904664607,0.07852364796130956,-0.059259727694529224,0.17232224677340435
E5,0.5443972678604394,0.4556027321395606,18591.838194572643,681.1390068303489,71007.04411666974,0.2245234908620971,0.2245234908620971,0.010799335425512277,21.738196418681923,0.013803350616198936,0.07070253909616032,-0.06588212080147425,0.08049163256222025,-0.061709479065028765,0.18151734439348566
F1,0.5399400898652021,0.46005991013479786,18551.990763854217,680.7532451323016,70815.91984772841,0.2337730279580826,0.2337730279580826,0.009360958562156765,21.80415626560151,0.015767411584623286,0.07515471804173379,-0.0628870044353238,0.08278548311710744,-0.05883448586000137,0.18932120107035086
F2,0.5062903774226454,0.4937096225773546,19313.04403264196,680.8517511050663,71813.37528561713,0.24280749744984062,0.24280749744984062,0.011220673240394424,21.802001020061194,0.011301924342328505,0.07144564882343667,-0.06400720649502177,0.08473970673039635,-0.05909678954476908,0.19874425225569659
F3,0.5044661846022969,0.49553381539770314,18803.615482773286,679.5820927264994,70329.29497235219,0.24991348362399135,0.24991348362399135,0.013185878349638452,21.715136112292647,0.01193674932941703,0.0724562830300343,-0.0656056121804099,0.08810610106546124,-0.06043751991159144,0.2029969916531321
F4,0.48022907008453775,0.5197709299154623,18981.26533951459,679.1478047450232,69289.9778456504,0.2568836651213522,0.2568836651213522,0.011453504226888464,21.63747477502047,0.007505139872399314,0.07010081596291892,-0.06639591771173135,0.08749117948361634,-0.06147984095037126,0.21251576887417992
F5,0.4698587667929728,0.5301412332070272,19472.502583534275,679.84671029969,70353.73417154669,0.2641174991388247,0.2641174991388247,0.006544953496383052,21.847444023424057,0.0020999239348448427,0.06683650706277688,-0.07430805804766262,0.08831098278460955,-0.06929340993860313,0.2204317726530435
G1,0.48799608035276826,0.5120039196472317,19582.20235178834,679.1695247427732,70347.5485742283,0.2686365507104259,0.2686365507104259,0.009309162175404213,21.744845663890228,0.0063868670230220114,0.07680030079411199,-0.07094537521895304,0.08752360712629914,-0.06611410529774527,0.22674563650293833
G2,0.478125,0.521875,19323.125,678.459375,68950.86349375,0.2723698124999996,0.2723698124999996,0.014375,21.479062500000026,0.005818987619039943,0.07484921453769848,-0.0703863881179245,0.08899740427311237,-0.06533332006837952,0.22785890917309126
G3,0.46883005977796754,0.5311699402220325,20099.23142613151,677.002561912895,71562.34278394534,0.2757119555935081,0.2757119555935081,0.011101622544833475,21.567233134073476,0.007784243690606606,0.07867320036338349,-0.06494740768556893,0.0901869525357454,-0.05789473795090693,0.23340044559378198
G4,0.42574257425742573,0.5742574257425743,20759.653465346535,679.4740099009902,72714.16725247524,0.27943576732673153,0.27943576732673153,0.008663366336633664,22.006918316831698,-0.004083397315148276,0.06304099801791452,-0.07047513561197524,0.08546824968987418,-0.06516833145073947,0.23597451218493606
G5,0.4339080459770115,0.5660919540229885,20865.44540229885,678.1321839080459,75951.18152298851,0.28091120689654986,0.28091120689654986,0.01293103448275862,22.20395114942529,0.0034151379125804855,0.06934531988214955,-0.06252334400887291,0.08944083949222492,-0.05593118482251434,0.23278552800677713
